ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,15,ips,learning_rate:10.0,bag:16:ips,167.8,,,167.8
loan1,15,mtr,learning_rate:10.0,bag:16:mtr,405.725,,,405.725
loan1,15,dr,learning_rate:0.001,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:0.001,bag:2:greedify:ips,405.7,,,405.7
loan1,15,mtr,learning_rate:0.001,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:0.003,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:0.003,bag:2:greedify:ips,405.7,,,405.7
loan1,15,mtr,learning_rate:0.003,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:0.01,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:0.01,bag:2:greedify:ips,405.7,,,405.7
loan1,15,mtr,learning_rate:0.01,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:0.03,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:0.03,bag:2:greedify:ips,338.95,,,338.95
loan1,15,mtr,learning_rate:0.03,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:0.1,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:0.1,bag:2:greedify:ips,297.05,,,297.05
loan1,15,mtr,learning_rate:0.1,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:0.3,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:0.3,bag:2:greedify:ips,311.125,,,311.125
loan1,15,mtr,learning_rate:0.3,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:1.0,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:1.0,bag:2:greedify:ips,248.725,,,248.725
loan1,15,mtr,learning_rate:1.0,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:3.0,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:3.0,bag:2:greedify:ips,224.75,,,224.75
loan1,15,mtr,learning_rate:3.0,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:10.0,bag:2:greedify:dr,405.7,,,405.7
loan1,15,ips,learning_rate:10.0,bag:2:greedify:ips,166.975,,,166.975
loan1,15,mtr,learning_rate:10.0,bag:2:greedify:mtr,405.7,,,405.7
loan1,15,dr,learning_rate:0.001,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.001,bag:4:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.001,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.003,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.003,bag:4:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.003,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.01,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.01,bag:4:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.01,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.03,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.03,bag:4:greedify:ips,386.6,,,386.6
loan1,15,mtr,learning_rate:0.03,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.1,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.1,bag:4:greedify:ips,336.85,,,336.85
loan1,15,mtr,learning_rate:0.1,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.3,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.3,bag:4:greedify:ips,307.425,,,307.425
